UserID,Age,Gender,SubscriptionType,WatchHoursPerWeek,DevicesUsed,FavoriteGenre,AdClicks,MonthlySpend,SubscriptionRenewed
1001,22,Female,Basic,23,5,Comedy,13,353,No
1002,55,Male,Basic,9,4,Drama,14,317,Yes
1003,49,Male,Basic,8,3,Comedy,16,309,No
1004,39,Female,Premium,19,5,Drama,45,833,Yes
1005,38,Female,Premium,23,5,Sci-Fi,24,804,Yes
1006,59,Male,Basic,15,3,Comedy,38,382,Yes
1007,22,Female,Basic,5,1,Comedy,22,389,No
1008,51,Male,VIP,4,1,Horror,35,1371,Yes
1009,27,Male,Basic,4,3,Drama,26,309,No
1010,22,Female,Premium,1,3,Comedy,14,664,No
1011,43,Male,Premium,16,1,Horror,44,847,No
1012,64,Female,Basic,24,1,Horror,36,465,Yes
1013,53,Female,Basic,15,4,Horror,39,278,Yes
1014,54,Female,Basic,1,4,Horror,48,285,No
1015,52,Male,VIP,13,1,Romance,12,1374,Yes
1016,55,Female,Basic,14,3,Sci-Fi,4,416,No
1017,42,Female,Basic,32,1,Comedy,29,514,No
1018,24,Male,Basic,3,4,Romance,16,331,No
1019,58,Male,Basic,12,5,Comedy,22,394,No
1020,39,Male,Premium,29,5,Comedy,11,848,Yes
1021,42,Female,Basic,19,3,Horror,20,354,No
1022,35,Female,Premium,20,4,Romance,20,783,No
1023,26,Male,Premium,16,5,Drama,17,780,No
1024,62,Female,Premium,18,4,Horror,37,787,No
1025,55,Female,Basic,21,3,Romance,30,291,No
1026,48,Female,VIP,9,4,Horror,24,1320,No
1027,37,Male,Premium,22,3,Action,5,812,No
1028,57,Male,Basic,4,5,Sci-Fi,29,302,Yes
1029,44,Male,Premium,18,3,Comedy,8,774,No
1030,39,Female,VIP,16,5,Romance,16,1408,Yes
1031,39,Female,Basic,10,1,Action,21,284,No
1032,28,Female,VIP,15,1,Romance,7,1276,No
1033,22,Male,Premium,10,1,Comedy,19,728,Yes
1034,44,Male,Premium,6,3,Drama,13,775,Yes
1035,60,Male,VIP,12,4,Comedy,43,1460,Yes
1036,21,Female,Basic,6,2,Horror,43,376,No
1037,59,Male,Premium,18,1,Drama,0,701,Yes
1038,57,Female,Basic,6,5,Horror,30,315,No
1039,31,Female,Premium,21,4,Action,32,819,No
1040,48,Male,Premium,6,4,Drama,19,740,No
1041,25,Male,Basic,10,3,Romance,23,381,Yes
1042,54,Male,Basic,10,3,Romance,40,294,No
1043,51,Female,Basic,26,1,Comedy,19,433,Yes
1044,35,Female,Basic,18,1,Drama,3,414,No
1045,21,Male,Basic,13,5,Drama,18,414,Yes
1046,64,Male,Basic,19,2,Sci-Fi,12,346,Yes
1047,39,Female,Basic,1,4,Sci-Fi,19,283,No
1048,60,Male,Basic,15,4,Action,11,212,No
1049,50,Male,Premium,31,2,Horror,7,817,Yes
1050,55,Male,Premium,16,2,Comedy,50,748,No
1051,54,Male,Premium,16,4,Comedy,6,718,No
1052,27,Male,Basic,19,1,Romance,36,404,No
1053,35,Female,VIP,22,3,Horror,36,1406,Yes
1054,40,Female,Premium,1,5,Drama,31,568,Yes
1055,41,Female,Basic,2,4,Romance,46,322,No
1056,20,Female,Basic,17,4,Drama,0,328,Yes
1057,44,Female,Premium,9,1,Sci-Fi,15,773,No
1058,25,Male,Basic,25,1,Comedy,9,347,Yes
1059,53,Male,Premium,12,2,Comedy,29,761,No
1060,50,Female,VIP,1,2,Drama,32,1287,Yes
1061,62,Male,Basic,5,1,Sci-Fi,45,342,No
1062,53,Female,Basic,1,5,Horror,19,311,Yes
1063,35,Female,VIP,13,1,Drama,12,1349,No
1064,64,Male,Premium,13,4,Romance,47,672,Yes
1065,37,Female,Basic,12,3,Sci-Fi,34,270,No
1066,33,Female,VIP,24,4,Action,39,1384,No
1067,61,Male,VIP,25,2,Horror,22,1424,Yes
1068,35,Male,Premium,14,2,Sci-Fi,22,733,Yes
1069,21,Female,Premium,1,4,Drama,19,742,No
1070,40,Female,Basic,20,2,Drama,38,382,Yes
1071,56,Male,Basic,19,4,Comedy,10,336,Yes
1072,27,Female,Premium,17,1,Sci-Fi,49,767,No
1073,40,Male,Basic,23,1,Sci-Fi,8,428,No
1074,24,Female,Premium,6,4,Drama,23,748,Yes
1075,50,Female,Premium,31,4,Comedy,16,967,Yes
1076,40,Male,Basic,7,1,Drama,32,294,No
1077,33,Female,Premium,21,5,Drama,34,800,No
1078,28,Female,Basic,2,1,Drama,46,335,Yes
1079,45,Female,VIP,8,5,Comedy,40,1338,No
1080,50,Male,Basic,27,4,Sci-Fi,12,404,No
1081,63,Male,Premium,13,5,Comedy,10,671,Yes
1082,38,Male,Premium,22,5,Sci-Fi,45,778,Yes
