rainfall_mm,temperature_c,fertilizer_kg,irrigation_hours,soil_ph,crop_type,soil_type,yield_ton_per_hectare
588.6,18.6,242.4,6.5,6.5,Maize,Loamy,5.92
772.8,34.6,247.2,10.0,6.5,Maize,Sandy,6.24
970.9,36.3,168.4,7.3,6.4,Wheat,Sandy,4.77
611.7,19.0,121.7,3.7,6.0,Maize,Loamy,4.04
696.1,29.6,184.6,5.1,6.1,Cotton,Clay,5.17
831.9,28.0,190.3,2.1,6.1,Soybean,Loamy,5.5
1023.8,32.0,108.5,6.9,6.2,Cotton,Loamy,5.44
1142.4,18.4,241.9,4.1,7.3,Soybean,Sandy,5.88
810.4,36.4,164.8,9.9,6.5,Wheat,Loamy,6.35
1085.5,29.4,89.3,8.3,5.8,Cotton,Loamy,6.3
377.4,21.9,164.8,7.9,7.4,Rice,Sandy,5.01
1028.6,34.0,134.9,4.9,6.4,Soybean,Loamy,5.35
854.3,25.5,82.3,2.9,5.9,Soybean,Sandy,4.06
717.9,22.9,83.0,3.9,7.2,Soybean,Clay,4.89
526.6,19.5,136.8,1.2,7.8,Cotton,Clay,3.58
697.2,21.1,124.3,2.9,6.7,Wheat,Loamy,4.9
428.5,37.9,78.5,6.6,7.4,Cotton,Clay,3.36
810.3,32.8,230.9,8.9,7.1,Maize,Loamy,6.18
842.8,30.7,230.6,3.5,6.9,Cotton,Sandy,4.26
1002.3,32.1,178.2,8.9,6.5,Wheat,Sandy,5.62
1062.9,19.8,91.4,9.2,6.8,Wheat,Clay,5.91
898.7,33.6,182.0,1.0,6.4,Wheat,Loamy,4.84
707.1,20.5,245.2,1.8,7.0,Cotton,Sandy,3.84
981.0,23.4,110.2,3.5,7.7,Rice,Clay,5.97
934.7,30.2,103.4,8.6,6.3,Wheat,Sandy,5.45
1191.0,22.4,162.6,5.1,6.3,Wheat,Loamy,5.91
695.0,33.3,191.6,7.2,6.6,Wheat,Sandy,4.67
580.8,34.0,133.7,9.2,6.0,Soybean,Loamy,5.28
454.8,26.7,115.3,5.5,7.3,Wheat,Sandy,4.33
804.1,30.2,121.1,5.5,7.2,Soybean,Sandy,4.58
397.4,25.8,74.7,3.4,6.8,Soybean,Clay,3.64
497.1,36.6,237.0,2.1,7.3,Wheat,Sandy,3.85
1143.9,21.0,234.0,7.1,5.7,Soybean,Clay,6.34
1056.9,27.3,150.0,5.1,6.2,Soybean,Clay,5.92
643.0,30.9,62.0,3.0,5.5,Soybean,Clay,4.37
452.7,20.8,108.9,5.0,7.5,Soybean,Clay,4.15
591.9,24.4,197.3,6.0,7.0,Soybean,Sandy,5.18
681.9,21.3,77.2,2.0,7.1,Rice,Sandy,4.35
1093.1,20.6,136.5,3.2,7.8,Maize,Sandy,4.13
685.0,25.6,120.6,7.6,6.6,Wheat,Clay,5.75
605.7,20.4,232.1,2.0,6.0,Maize,Sandy,3.74
736.3,23.4,142.7,9.0,6.6,Maize,Clay,5.58
727.4,22.5,129.1,1.9,7.0,Rice,Sandy,3.99
1174.6,30.4,95.1,5.9,7.8,Wheat,Sandy,5.78
328.8,21.7,60.2,3.8,7.6,Cotton,Sandy,2.64
940.8,26.6,69.6,3.9,7.6,Soybean,Loamy,5.6
907.6,28.6,218.5,3.1,6.9,Soybean,Sandy,5.04
905.3,19.2,74.2,2.6,6.5,Rice,Sandy,3.9
1072.2,19.3,99.0,8.7,6.1,Soybean,Loamy,6.56
620.5,23.8,244.7,4.2,7.3,Soybean,Sandy,4.91
544.9,21.8,84.3,2.4,6.8,Cotton,Clay,3.4
350.7,35.5,110.2,3.0,5.8,Soybean,Clay,3.1
840.6,33.7,190.1,5.6,6.0,Maize,Loamy,5.53
1020.8,35.0,215.9,9.4,5.5,Maize,Clay,6.07
929.8,28.7,107.2,1.9,7.6,Wheat,Clay,4.87
771.6,28.5,213.2,6.9,6.7,Soybean,Loamy,5.91
587.7,24.2,205.7,6.6,6.4,Rice,Sandy,5.35
898.1,21.1,147.6,4.0,6.9,Rice,Clay,5.99
1055.6,32.5,100.4,1.7,5.9,Rice,Sandy,4.96
927.7,25.2,80.7,3.5,7.9,Soybean,Clay,4.67
496.8,36.7,52.2,2.2,6.7,Soybean,Loamy,3.63
439.7,19.3,164.0,5.7,7.7,Maize,Sandy,3.67
817.9,18.8,116.4,1.6,6.4,Cotton,Clay,3.57
450.6,29.2,187.9,1.9,6.3,Soybean,Sandy,3.56
1098.2,32.7,109.3,6.0,7.9,Maize,Loamy,5.6
313.1,35.1,63.6,4.1,7.3,Rice,Loamy,4.56
563.4,30.4,161.1,7.1,6.0,Rice,Sandy,5.61
1055.7,35.5,223.6,6.9,5.7,Soybean,Loamy,6.83
919.0,22.8,71.0,6.7,7.0,Cotton,Loamy,5.07
836.2,32.5,106.2,10.0,7.5,Cotton,Clay,5.56
411.2,36.1,227.7,9.6,7.3,Rice,Clay,6.26
459.4,18.7,58.6,6.7,7.0,Soybean,Clay,4.65
1065.2,22.8,200.6,3.5,5.9,Maize,Sandy,5.09
628.8,35.3,249.5,5.6,7.1,Cotton,Clay,5.04
669.8,22.7,84.0,7.1,7.9,Cotton,Loamy,5.18
784.0,37.2,71.3,5.8,5.5,Maize,Clay,4.29
666.5,30.3,148.5,7.3,7.1,Cotton,Loamy,5.2
1189.7,34.9,67.9,1.2,7.1,Cotton,Clay,4.08
459.8,34.4,225.7,5.6,7.8,Maize,Sandy,4.46
683.8,18.5,170.2,8.8,7.9,Rice,Clay,5.58
1174.4,24.8,96.0,2.0,6.1,Soybean,Clay,5.71
605.1,27.2,240.8,3.2,7.2,Maize,Sandy,4.85
333.6,32.0,138.5,7.1,7.4,Cotton,Loamy,3.98
499.6,27.8,80.3,3.1,6.6,Soybean,Sandy,3.8
448.1,24.3,113.8,4.1,7.0,Cotton,Loamy,4.04
355.0,24.1,100.3,5.6,5.5,Wheat,Sandy,3.27
606.1,22.3,57.6,9.6,5.6,Maize,Loamy,5.41
634.6,30.9,220.4,3.2,7.9,Maize,Loamy,4.93
846.0,28.6,235.3,8.1,7.6,Rice,Sandy,6.79
926.9,31.6,172.1,4.7,5.9,Wheat,Sandy,4.87
694.3,22.5,127.8,6.6,5.7,Maize,Clay,5.28
897.3,33.5,143.6,3.2,6.8,Wheat,Loamy,5.56
1183.6,34.8,151.3,6.9,6.4,Maize,Loamy,6.45
811.7,20.3,84.2,5.4,6.0,Wheat,Clay,5.24
1193.2,37.2,76.4,5.9,7.4,Rice,Sandy,5.85
